time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
1479741573,20804,0,31056,0,0,0,32767,32767,32767
